parent_sked,parent_sked_part,in_a_group,db_table,ordering,db_name,xpath,irs_type,db_type,line_number,description,versions
IRS990,part_0,True,SpclCndtnDsc,1,SpclCndtnDsc,/IRS990/SpecialConditionDesc,,Text,, Special condition description,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,1,AddrssChngInd,/IRS990/AddressChangeInd,CheckboxType,String(length=1), B, Indicates this return has an address change,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,2,IntlRtrnInd,/IRS990/InitialReturnInd,CheckboxType,String(length=1), B, Indicates this is an initial return,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,3,FnlRtrnInd,/IRS990/FinalReturnInd,CheckboxType,String(length=1), B, Indicates this return is a terminated return,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,4,AmnddRtrnInd,/IRS990/AmendedReturnInd,CheckboxType,String(length=1), B, Indicates this return is an amended return,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,5,DngBsnssAsNm_BsnssNmLn1Txt,/IRS990/DoingBusinessAsName/BusinessNameLine1,BusinessNameLine1Type,String(length=75), C, Doing business as; Business name line 1,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,6,DngBsnssAsNm_BsnssNmLn1Txt,/IRS990/DoingBusinessAsName/BusinessNameLine1Txt,BusinessNameLine1Type,String(length=75), C, Doing business as; Business name line 1,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,7,DngBsnssAsNm_BsnssNmLn2Txt,/IRS990/DoingBusinessAsName/BusinessNameLine2,BusinessNameLine2Type,String(length=75), C, Doing business as; Business name line 2,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,8,DngBsnssAsNm_BsnssNmLn2Txt,/IRS990/DoingBusinessAsName/BusinessNameLine2Txt,BusinessNameLine2Type,String(length=75), C, Doing business as; Business name line 2,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,9,GrssRcptsAmt,/IRS990/GrossReceiptsAmt,USAmountNNType,BigInteger, G, Gross receipts,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,10,GrpRtrnFrAffltsInd,/IRS990/GroupReturnForAffiliatesInd,BooleanType,String(length=5), H(a), Group return for affiliates?,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,11,AllAffltsInclddInd,/IRS990/AllAffiliatesIncludedInd,,Text, H(b), All affiliates included?,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,12,GrpExmptnNm,/IRS990/GroupExemptionNum,,Text, H(c), Group exemption number,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,13,WbstAddrssTxt,/IRS990/WebsiteAddressTxt,LineExplanationType,String(length=100), J, Web site,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,14,OfOrgnztnCrpInd,/IRS990/TypeOfOrganizationCorpInd,CheckboxType,String(length=1), K, Type of organization - corporation,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,15,OfOrgnztnTrstInd,/IRS990/TypeOfOrganizationTrustInd,CheckboxType,String(length=1), K, Type of organization - trust,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,16,OfOrgnztnAsscInd,/IRS990/TypeOfOrganizationAssocInd,CheckboxType,String(length=1), K, Type of organization - association,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,17,OfOrgnztnOthrInd,/IRS990/TypeOfOrganizationOtherInd,CheckboxType,String(length=1), K, Type of organization - other,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,18,OthrOrgnztnDsc,/IRS990/OtherOrganizationDsc,LineExplanationType,String(length=100), K, Type of organization - other description,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,19,FrmtnYr,/IRS990/FormationYr,YearType,Integer, L, Year of formation,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,20,PrncplOffcrNm,/IRS990/PrincipalOfficerNm,PersonNameType,String(length=35), F, Name of principal officer - Person,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,21,PrncplOfcrBsnssNm_BsnssNmLn1Txt,/IRS990/PrincipalOfcrBusinessAddress/BusinessNameLine1,BusinessNameLine1Type,String(length=75), F, Name of principal officer - Business; Business name line 1,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,22,PrncplOfcrBsnssNm_BsnssNmLn1Txt,/IRS990/PrincipalOfcrBusinessName/BusinessNameLine1Txt,BusinessNameLine1Type,String(length=75), F, Name of principal officer - Business; Business name line 1,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,23,PrncplOfcrBsnssNm_BsnssNmLn2Txt,/IRS990/PrincipalOfcrBusinessAddress/BusinessNameLine2,BusinessNameLine2Type,String(length=75), F, Name of principal officer - Business; Business name line 2,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,24,PrncplOfcrBsnssNm_BsnssNmLn2Txt,/IRS990/PrincipalOfcrBusinessName/BusinessNameLine2Txt,BusinessNameLine2Type,String(length=75), F, Name of principal officer - Business; Business name line 2,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,25,USAddrss_AddrssLn1Txt,/IRS990/USAddress/AddressLine1,StreetAddressType,String(length=35), F, Address of principal officer - US; Address line 1,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,26,USAddrss_AddrssLn1Txt,/IRS990/USAddress/AddressLine1Txt,StreetAddressType,String(length=35), F, Address of principal officer - US; Address line 1,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,27,USAddrss_AddrssLn2Txt,/IRS990/USAddress/AddressLine2,StreetAddressType,String(length=35), F, Address of principal officer - US; Address line 2,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,28,USAddrss_AddrssLn2Txt,/IRS990/USAddress/AddressLine2Txt,StreetAddressType,String(length=35), F, Address of principal officer - US; Address line 2,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,29,USAddrss_CtyNm,/IRS990/USAddress/City,CityType,String(length=22), F, Address of principal officer - US; City,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,30,USAddrss_CtyNm,/IRS990/USAddress/CityNm,CityType,String(length=22), F, Address of principal officer - US; City,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,31,USAddrss_SttAbbrvtnCd,/IRS990/USAddress/State,StateType,String(length=2), F, Address of principal officer - US; State,2013v3.0;2013v3.1;2013v4.0
